"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C12,C11";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";2;"4,7uF";;;
2;"C1,C10,C9,C8,C7,C6,C5,C3,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";9;"100nF";;;
3;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"MCP4922";;;
4;"U3,U4";"SOIC-14_3.9x8.7mm_P1.27mm";2;"LM324";;;
5;"M1,M2,M3,M4";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
6;"R25,R24";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"3.9k";;;
7;"R23,R22";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"20k";;;
8;"J3,J2";"PinHeader_1x3_P2.5mm_Drill1.1mm";2;"B3B-XH-A_LF__SN_";;;
9;"R20";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"220R";;;
10;"R11,R10,R9,R8,R1,R21,R13,R12";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"10k";;;
11;"R7,R17,R19,R16,R18";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"100R";;;
12;"R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10R";;;
13;"R5,R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"n.b.";;;
14;"R3,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0R";;;
15;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
16;"J1";"PinHeader_1x3_P2.54mm_Drill1.02mm";1;"0022232031";;;
17;"D1";"LED_3mm_Radial";1;"LED";;;
18;"C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"220nF";;;
19;"R14,R15";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"12k";;;
20;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
21;"U1";"TO-263-3_TabPin2";1;"L7805";;;
